"name";"lat";"lon";"kanton"
"Ufhusen";47.11699;7.89607;"LU"
"Uffikon";47.21096;8.01808;"LU"
"Uettligen";46.98734;7.38556;"BE"
"Uetikon";47.26441;8.67925;"ZH"
"Uetendorf";46.77392;7.57251;"BE"
"Uesslingen";47.58146;8.83099;"TG"
"Uerkheim";47.30353;8.0232;"AG"
"Uerikon";47.23672;8.7573;"ZH"
"Ueberstorf";46.86587;7.30998;"FR"
"Ueberlandquart";46.95;9.61667;"GR"
"Udligenswil";47.09005;8.40335;"LU"
"Twann";47.0942;7.15699;"BE"
"Turtmann";46.30028;7.702;"VS"
"Turgi";47.49201;8.25412;"AG"
"Turbenthal";47.43633;8.84629;"ZH"
"Turahus";46.63333;9.28333;"GR"
"Tuors Davant";46.64337;9.80197;"GR"
"Tuggen";47.20291;8.94896;"SZ"
"Tschuggen";46.78677;9.91984;"GR"
"Tschingeren";46.3301;7.62829;"VS"
"Tschiertschen";46.81766;9.60638;"GR"
"Tschenten";46.50367;7.54909;"BE"
"Tschamut";46.65468;8.70914;"GR"
"Trun";46.74292;8.98716;"GR"
"Trüllikon";47.63539;8.68919;"ZH"
"Trubschachen";46.92228;7.8452;"BE"
"Trübbach";47.0734;9.47828;"SG"
"Trub";46.94168;7.87996;"BE"
"Troistorrents";46.2289;6.91589;"VS"
"Trogen";47.40782;9.46498;"AR"
"Trin";46.82834;9.36164;"GR"
"Trimstein";46.90481;7.5835;"BE"
"Trimmis";46.90075;9.5612;"GR"
"Trimbach";47.36561;7.8868;"SO"
"Trient";46.05798;6.99395;"VS"
"Triengen";47.23573;8.07652;"LU"
"Tribschen";47.03853;8.32613;"LU"
"Treyvaux";46.72796;7.13769;"FR"
"Treyfayes";46.65406;6.95327;"FR"
"Trey";46.7702;6.92645;"VD"
"Tretsch";46.96667;9.55;"GR"
"Trélex";46.41538;6.20813;"VD"
"Treib";46.98724;8.58611;"UR"
"Travisasch";46.66535;9.20471;"GR"
"Travers";46.94018;6.67595;"NE"
"Trasadingen";47.66862;8.42995;"SH"
"Trans";46.76486;9.46129;"GR"
"Tramelan";47.22298;7.10287;"BE"
"Trachselwald";47.01699;7.73639;"BE"
"Trachsellauenen";46.52743;7.90355;"BE"
"Tössriederen";47.5647;8.54465;"ZH"
"Tössegg";47.43709;8.83802;"ZH"
"Tortin";46.11357;7.30386;"VS"
"Torre";46.48904;8.95326;"TI"
"Törbel";46.23837;7.85239;"VS"
"Tomils";46.76177;9.44239;"GR"
"Toffen";46.86031;7.49216;"BE"
"Tobel";47.51503;9.03355;"TG"
"Titterten";47.40244;7.71591;"BL"
"Tinzen";46.58241;9.61732;"GR"
"Tiermatti";46.58651;7.49565;"BE"
"Tiefencastel";46.66014;9.57883;"GR"
"Tiefenbach";46.59301;8.46172;"UR"
"Thusis";46.69724;9.43938;"GR"
"Thundorf";47.54594;8.96358;"TG"
"Thun";46.75118;7.62166;"BE"
"Thörishaus";46.89387;7.35131;"BE"
"Thorberg";47.00129;7.56544;"BE"
"Thierrens";46.70383;6.75501;"VD"
"Thierachern";46.75319;7.57442;"BE"
"Thielle-Wavre";47.02154;7.02921;"NE"
"Therwil";47.49941;7.55669;"BL"
"Thayngen";47.74717;8.70724;"SH"
"Thalwil";47.29175;8.56351;"ZH"
"Thalheim";47.57822;8.7512;"ZH"
"Thalheim";47.43534;8.10027;"AG"
"Thal";46.638;9.28045;"GR"
"Tgantieni";46.71954;9.52963;"GR"
"Tga";46.51086;9.59049;"GR"
"Teuffenthal";46.76766;7.71142;"BE"
"Teufenthal";47.32896;8.11777;"AG"
"Teufen";47.3908;9.38644;"AR"
"Tesserete";46.06813;8.96501;"TI"
"Territet";46.42863;6.92122;"VD"
"Termen";46.32688;8.02097;"VS"
"Tenna";46.74766;9.33952;"GR"
"Bogn Tenigia";46.69032;8.95701;"GR"
"Tenero";46.18143;8.85103;"TI"
"Tegna";46.1869;8.74516;"TI"
"Tegerfelden";47.55809;8.28914;"AG"
"Tecknau";47.4491;7.88491;"BL"
"Taveyannaz";46.30396;7.12223;"VD"
"Taverne";46.06162;8.92868;"TI"
"Tavannes";47.22079;7.19759;"BE"
"Tavanasa";46.75458;9.06234;"GR"
"Täuffelen";47.0663;7.19883;"BE"
"Täsch";46.06838;7.77766;"VS"
"Tarviersch";46.95305;9.53256;"GR"
"Tartar";46.71761;9.41859;"GR"
"Tarasp";46.77696;10.25848;"GR"
"Tannen";46.76667;8.33333;"BE"
"Tann";47.26898;8.85024;"ZH"
"Tänikon";47.47986;8.90665;"TG"
"Tanay";46.34503;6.83041;"VS"
"Tamins";46.82964;9.40648;"GR"
"Tagliada";46.20662;9.06024;"TI"
"Tägerwilen";47.65698;9.13999;"TG"
"Tafers";46.81483;7.21852;"FR"
"Süs";46.74989;10.07918;"GR"
"Sursee";47.17088;8.11113;"LU"
"Surlej";46.45799;9.81138;"GR"
"Suren";46.76662;10.17557;"GR"
"Surava";46.66613;9.61297;"GR"
"Suracqua";46.38465;10.09193;"GR"
"Sundlauenen";46.68627;7.79312;"BE"
"Sumiswald";47.02747;7.74526;"BE"
"Sulz";47.53602;8.09628;"AG"
"Sulsana";46.6369;9.9901;"GR"
"Sulgone";46.39165;9.00573;"TI"
"Sulgen";47.53967;9.18585;"TG"
"Suhr";47.37172;8.07967;"AG"
"Sugiez";46.96192;7.11292;"FR"
"Sufers";46.57032;9.36586;"GR"
"Südern";46.81965;7.76047;"BE"
